City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tura,25.5198,90.2201,70.79,78,35,6.22,IN,1619889589
rozsypne,48.1497,38.5762,59.86,77,99,4.23,UA,1619889590
hami,42.8,93.45,68.07,34,13,23.26,CN,1619889590
tambovka,50.0969,128.0489,42.8,61,40,4.47,RU,1619889590
slave lake,55.2834,-114.769,42.8,65,75,11.5,CA,1619889591
marawi,7.9986,124.2928,77.0,88,81,5.01,PH,1619889591
caiaponia,-16.9567,-51.8103,80.67,56,87,7.92,BR,1619889591
ambovombe,-25.1667,46.0833,73.0,82,91,4.88,MG,1619889592
hasaki,35.7333,140.8333,59.0,94,20,6.91,JP,1619889356
henties bay,-22.116,14.2845,63.0,85,0,1.99,NA,1619889592
harnosand,62.6323,17.9379,44.6,45,90,4.61,SE,1619889592
saskylakh,71.9167,114.0833,30.4,98,100,2.53,RU,1619889592
sur,22.5667,59.5289,84.63,50,45,11.52,OM,1619889593
okha,53.5739,142.9478,30.0,93,100,10.71,RU,1619889593
cape town,-33.9258,18.4232,61.0,77,0,9.22,ZA,1619889593
port said,31.2565,32.2841,71.38,73,63,12.17,EG,1619889409
sao felix do xingu,-6.6447,-51.995,85.06,65,47,2.1,BR,1619889594
east london,-33.0153,27.9116,57.2,88,0,1.14,ZA,1619889594
kirs,59.3388,52.2447,41.79,84,97,5.82,RU,1619889594
hopelchen,19.7667,-89.85,91.4,46,20,17.27,MX,1619889595
leningradskiy,69.3833,178.4167,14.63,89,100,20.98,RU,1619889595
mweka,-4.85,21.5667,70.14,97,94,2.19,CD,1619889595
talnakh,69.4865,88.3972,14.07,88,45,1.68,RU,1619889596
pochutla,15.7432,-96.4661,91.4,55,75,8.32,MX,1619889596
dagua,3.6569,-76.6886,80.6,50,40,2.3,CO,1619889596
airai,-8.9266,125.4092,56.86,88,97,3.2,TL,1619889597
te anau,-45.4167,167.7167,39.09,87,14,1.25,NZ,1619889597
cidreira,-30.1811,-50.2056,71.55,58,0,12.93,BR,1619889597
sisimiut,66.9395,-53.6735,38.32,71,24,8.23,GL,1619889597
kahului,20.8947,-156.47,72.0,78,20,5.75,US,1619889598
port keats,-14.25,129.55,75.16,54,0,5.5,AU,1619889598
korem,12.5058,39.5228,56.05,90,99,2.62,ET,1619889598
asyut,27.181,31.1837,93.88,7,0,13.22,EG,1619889599
mormugao,15.4,73.8,82.67,78,18,2.17,IN,1619889599
sitka,57.0531,-135.33,42.8,75,90,6.91,US,1619889599
nanortalik,60.1432,-45.2371,40.86,55,21,11.14,GL,1619889600
rocha,-34.4833,-54.3333,73.49,56,1,6.78,UY,1619889600
juneau,58.3019,-134.4197,46.4,71,75,3.44,US,1619889600
new norfolk,-42.7826,147.0587,53.01,65,100,3.2,AU,1619889601
meulaboh,4.1363,96.1285,79.07,87,100,3.18,ID,1619889601
devils lake,48.1128,-98.8651,70.0,28,1,11.5,US,1619889602
menongue,-14.6585,17.691,66.33,75,77,3.53,AO,1619889602
bengkulu,-3.8004,102.2655,76.28,90,74,4.43,ID,1619889602
chanika,-5.4167,38.0167,68.92,97,100,3.89,TZ,1619889603
iqaluit,63.7506,-68.5145,39.2,75,90,14.97,CA,1619889603
lebu,-37.6167,-73.65,55.4,91,100,14.14,CL,1619889603
okhotsk,59.3833,143.3,31.26,88,100,0.49,RU,1619889604
kotturu,14.8167,76.2167,83.75,48,19,10.83,IN,1619889604
kaeo,-35.1,173.7833,48.99,94,22,6.35,NZ,1619889604
onguday,50.75,86.15,32.22,94,98,8.25,RU,1619889605
arboletes,8.8505,-76.4269,84.13,66,89,4.94,CO,1619889605
comodoro rivadavia,-45.8667,-67.5,66.2,34,40,16.11,AR,1619889405
naryan-mar,67.6713,53.087,32.74,98,100,14.52,RU,1619889606
saint-georges,12.0564,-61.7485,84.2,70,40,20.71,GD,1619889606
deputatskiy,69.3,139.9,19.47,97,100,2.44,RU,1619889606
pevek,69.7008,170.3133,6.28,96,100,7.7,RU,1619889607
saint peters,38.8003,-90.6265,80.01,36,1,11.5,US,1619889607
souillac,-20.5167,57.5167,75.2,88,40,3.44,MU,1619889607
tanggu,39.0211,117.6469,50.0,66,0,2.24,CN,1619889608
bontang,0.1333,117.5,80.15,80,85,4.25,ID,1619889608
kununurra,-15.7667,128.7333,66.2,94,0,3.83,AU,1619889584
vila,42.0304,-8.1588,55.0,59,97,8.01,PT,1619889608
khash,28.2211,61.2158,65.05,58,75,4.09,IR,1619889609
port elizabeth,-33.918,25.5701,57.2,82,0,5.75,ZA,1619889609
sinnamary,5.3833,-52.95,81.32,79,95,9.93,GF,1619889609
qesarya,32.5189,34.9046,72.0,78,0,2.3,IL,1619889610
ghanzi,-21.5667,21.7833,68.41,24,0,7.72,BW,1619889610
canyon lake,29.8752,-98.2625,69.01,91,98,4.0,US,1619889610
charters towers,-20.1,146.2667,64.98,84,54,7.02,AU,1619889611
ludvika,60.1496,15.1878,48.2,34,90,3.44,SE,1619889611
beloha,-25.1667,45.05,72.39,71,98,7.25,MG,1619889611
plettenberg bay,-34.0527,23.3716,58.08,73,0,3.91,ZA,1619889564
gunjur,13.2019,-16.7339,84.2,51,0,13.8,GM,1619889612
mareeba,-17.0,145.4333,73.4,83,61,10.36,AU,1619889612
necochea,-38.5473,-58.7368,73.99,50,73,5.01,AR,1619889612
svetlogorsk,52.6333,29.7333,49.53,78,100,5.23,BY,1619889612
hampton,37.0299,-76.3452,64.4,34,20,10.36,US,1619889568
hobart,-42.8794,147.3294,52.0,82,99,9.22,AU,1619889613
daru,-9.0763,143.2092,77.94,85,33,11.88,PG,1619889613
vilhena,-12.7406,-60.1458,82.4,65,75,6.91,BR,1619889613
bodden town,19.2833,-81.25,84.2,74,40,5.75,KY,1619889469
qaanaaq,77.484,-69.3632,35.73,69,99,4.92,GL,1619889556
port blair,11.6667,92.75,83.46,74,88,5.93,IN,1619889614
upernavik,72.7868,-56.1549,32.74,78,70,1.07,GL,1619889615
port-gentil,-0.7193,8.7815,86.0,74,40,11.5,GA,1619889615
butaritari,3.0707,172.7902,82.2,75,100,9.37,KI,1619889615
san alberto,7.7611,-73.3922,85.42,68,77,4.63,CO,1619889615
fairbanks,64.8378,-147.7164,34.0,51,90,3.44,US,1619889462
tuatapere,-46.1333,167.6833,48.0,85,1,4.0,NZ,1619889616
husavik,66.0449,-17.3389,37.4,70,75,16.11,IS,1619889616
umarkot,25.3616,69.7362,92.77,26,100,11.1,PK,1619889617
senno,59.5336,33.9167,37.72,74,93,7.56,RU,1619889617
caxito,-8.5785,13.6643,78.8,83,40,6.91,AO,1619889617
akdepe,42.0551,59.3788,64.4,32,0,9.22,TM,1619889617
murgab,37.4966,61.9714,75.2,41,75,9.22,TM,1619889618
dunda,-8.1167,34.25,69.57,84,100,2.46,TZ,1619889618
kenai,60.5544,-151.2583,39.0,75,1,4.61,US,1619889591
alugan,12.2188,125.4808,80.02,81,9,7.23,PH,1619889618
padang,-0.9492,100.3543,77.0,94,40,3.44,ID,1619889619
grootfontein,-19.5667,18.1167,69.8,64,67,3.44,NA,1619889384
nicoya,10.1483,-85.452,86.0,54,0,9.22,CR,1619889619
coracora,-15.0333,-73.7833,59.34,47,61,8.99,PE,1619889619
pisco,-13.7,-76.2167,69.8,78,7,10.36,PE,1619889620
maxixe,-23.8597,35.3472,71.6,88,40,11.5,MZ,1619889620
flin flon,54.7682,-101.865,48.2,61,40,4.61,CA,1619889620
maracai,-22.6106,-50.6672,87.8,32,20,7.58,BR,1619889621
nhulunbuy,-12.2333,136.7667,78.8,78,90,4.61,AU,1619889621
pimentel,-6.8367,-79.9342,78.8,53,0,16.11,PE,1619889621
muscat,23.6139,58.5922,87.8,48,0,4.61,OM,1619889445
dargaville,-35.9333,173.8833,51.6,80,0,2.57,NZ,1619889622
isangel,-19.55,169.2667,77.05,81,100,19.91,VU,1619889622
kokemaki,61.2565,22.3564,42.01,45,0,12.66,FI,1619889622
nome,64.5011,-165.4064,21.2,79,90,9.22,US,1619889623
alofi,-19.0595,-169.9187,73.4,94,19,1.14,NU,1619889623
alvorada,-12.48,-49.1247,87.94,44,100,8.72,BR,1619889623
vila velha,-20.3297,-40.2925,80.6,61,40,10.36,BR,1619889623
kawalu,-7.3817,108.2082,72.99,96,57,1.95,ID,1619889624
jibuti,11.5,42.5,84.2,74,1,6.91,DJ,1619889402
botwood,49.1499,-55.3482,48.2,87,90,20.71,CA,1619889624
miri,4.4148,114.0089,77.0,94,40,8.05,MY,1619889325
barrow,71.2906,-156.7887,21.2,86,90,11.5,US,1619889369
presidencia roque saenz pena,-26.7852,-60.4388,84.0,51,0,4.0,AR,1619889625
mehamn,71.0357,27.8492,35.6,75,75,10.36,NO,1619889625
las vegas,36.175,-115.1372,89.6,11,1,11.5,US,1619889416
parabel,58.6978,81.4825,36.72,79,82,14.54,RU,1619889625
marienburg,54.0359,19.0266,51.01,100,98,9.04,PL,1619889626
santa cruz cabralia,-16.2781,-39.0247,77.0,69,75,8.05,BR,1619889626
melfort,52.8667,-104.6177,62.6,31,62,3.44,CA,1619889626
lata,40.1629,-8.3327,61.0,50,27,7.0,PT,1619889627
gambela,8.25,34.5833,80.35,57,67,0.45,ET,1619889627
salalah,17.0151,54.0924,84.2,84,20,6.91,OM,1619889627
san cristobal,7.7669,-72.225,82.4,65,40,9.22,VE,1619889628
coos bay,43.3665,-124.2179,53.6,76,90,9.22,US,1619889442
adwa,14.1646,38.8955,66.24,63,99,1.39,ET,1619889628
shenjiamen,29.9576,122.298,58.86,87,0,6.15,CN,1619889628
taltal,-25.4,-70.4833,67.71,68,3,7.05,CL,1619889629
haines junction,60.7522,-137.5108,39.2,56,100,1.14,CA,1619889629
filadelfia,39.9523,-75.1638,62.01,29,20,13.8,US,1619889623
high level,58.5169,-117.136,44.6,61,75,16.11,CA,1619889629
kyabram,-36.3167,145.05,58.12,59,100,7.27,AU,1619889630
socorro,31.6546,-106.3033,69.01,45,1,8.05,US,1619889630
lulea,65.5842,22.1547,41.0,33,0,12.66,SE,1619889630
andenes,69.3143,16.1194,33.8,93,75,3.44,NO,1619889631
north platte,41.1239,-100.7654,81.0,29,1,6.91,US,1619889352
tairua,-37.0167,175.85,46.99,87,0,1.5,NZ,1619889631
palana,59.1167,159.9667,24.58,85,36,5.84,RU,1619889631
raymondville,26.4815,-97.7831,73.99,94,90,3.44,US,1619889632
nanyuki,0.0167,37.0728,63.93,68,100,4.07,KE,1619889632
abu samrah,35.3029,37.1841,76.77,29,35,14.23,SY,1619889632
grajewo,53.6473,22.4554,47.05,80,100,4.81,PL,1619889633
waingapu,-9.6567,120.2641,77.94,82,32,6.29,ID,1619889633
wanaka,-44.7,169.15,42.15,70,2,2.66,NZ,1619889633
montlucon,46.3333,2.6,52.0,76,100,7.31,FR,1619889634
karaton,-6.3424,106.1045,82.99,83,20,4.61,ID,1619889634
xam nua,20.4197,104.0439,65.08,97,67,2.06,LA,1619889634
desdunes,19.2955,-72.646,87.49,52,51,10.51,HT,1619889635
vardo,70.3705,31.1107,32.85,74,88,9.13,NO,1619889635
ferme-neuve,46.7001,-75.4493,44.6,26,84,3.44,CA,1619889635
umm lajj,25.0213,37.2685,84.29,48,0,4.23,SA,1619889635
ancud,-41.8697,-73.8203,59.0,82,75,10.36,CL,1619889636
itupiranga,-5.1347,-49.3267,84.2,87,75,3.44,BR,1619889636
gorom-gorom,14.4439,-0.2361,106.52,8,0,11.01,BF,1619889636
srandakan,-7.9386,110.2506,77.65,86,54,5.32,ID,1619889638
stowe,40.2526,-75.6774,62.01,33,1,11.5,US,1619889639
vanimo,-2.6741,141.3028,77.47,88,100,3.47,PG,1619889639
senanga,-16.1167,23.2667,74.66,59,93,6.35,ZM,1619889639
noumea,-22.2763,166.4572,71.6,83,90,3.44,NC,1619889640
minbu,20.1833,94.8833,85.96,59,29,3.38,MM,1619889640
afsin,38.2477,36.914,61.74,49,88,9.78,TR,1619889640
kruisfontein,-34.0033,24.7314,55.99,80,0,1.01,ZA,1619889641
poum,-20.2333,164.0167,75.33,76,95,12.88,NC,1619889641
kavaratti,10.5669,72.642,85.6,71,9,6.89,IN,1619889641
uyovu,-3.2833,31.5258,69.26,85,99,2.55,TZ,1619889642
pringsewu,-5.3582,104.9744,74.68,95,100,1.74,ID,1619889642
johnston,35.5335,-78.3997,69.01,24,1,6.91,US,1619889642
katsuura,35.1333,140.3,64.4,88,75,11.5,JP,1619889643
istok,42.7808,20.4875,71.6,43,75,5.75,XK,1619889643
alyangula,-13.8483,136.4192,73.4,100,43,4.61,AU,1619889643
ahipara,-35.1667,173.1667,55.29,76,16,7.29,NZ,1619889644
sangar,63.9242,127.4739,36.18,94,100,7.94,RU,1619889644
hambantota,6.1241,81.1185,81.45,78,97,5.66,LK,1619889644
cairns,-16.9167,145.7667,73.4,83,25,10.36,AU,1619889466
kamenka,51.3223,42.7678,53.4,90,64,6.53,RU,1619889645
shache,38.4167,77.2406,74.48,14,83,3.2,CN,1619889645
guane,22.2025,-84.0875,90.63,43,46,9.89,CU,1619889645
alice springs,-23.7,133.8833,57.2,51,28,5.75,AU,1619889646
oranjestad,12.524,-70.027,82.4,78,75,19.57,AW,1619889646
ozinki,51.1786,49.6769,58.37,58,100,12.12,RU,1619889646
mantua,45.1667,10.7833,63.0,94,100,5.99,IT,1619889647
hirara,24.8,125.2833,75.42,76,100,5.68,JP,1619889647
moerai,-22.4333,-151.3333,74.97,62,80,13.4,PF,1619889647
kimbe,-5.5502,150.1429,74.91,93,30,4.14,PG,1619889648
uyuni,-20.4597,-66.825,50.94,9,10,10.69,BO,1619889648
dwarka,22.2394,68.9678,84.04,72,96,6.15,IN,1619889648
gao,16.6362,1.637,105.82,5,2,10.11,ML,1619889648
santa maria,-29.6842,-53.8069,80.6,44,0,4.61,BR,1619889379
chuy,-33.6971,-53.4616,73.92,53,2,5.73,UY,1619889649
fortuna,40.5982,-124.1573,55.0,100,75,11.5,US,1619889649
grande prairie,55.1667,-118.8027,50.0,50,75,14.97,CA,1619889649
touros,-5.1989,-35.4608,87.8,51,40,14.97,BR,1619889650
baruun-urt,46.6806,113.2792,42.85,37,100,10.83,MN,1619889650
kibakwe,-6.7167,36.3667,66.02,91,47,4.25,TZ,1619889650
villazon,-22.0866,-65.5942,59.16,8,2,3.51,BO,1619889651
mena,51.5217,32.2157,53.8,72,93,3.96,UA,1619889651
pangnirtung,66.1451,-65.7125,44.6,57,75,13.8,CA,1619889651
labrea,-7.2586,-64.7981,86.2,66,28,2.84,BR,1619889651
gambo,4.6482,22.2633,71.15,96,91,4.36,CF,1619889652
auki,-8.7676,160.7034,76.39,87,99,2.91,SB,1619889652
miraflores,19.2167,-98.8083,75.2,35,40,4.61,MX,1619889652
kloulklubed,7.0419,134.2556,78.8,94,75,8.05,PW,1619889653
hithadhoo,-0.6,73.0833,84.76,68,97,5.88,MV,1619889653
shasta lake,40.6804,-122.3708,70.0,48,1,5.75,US,1619889653
torbay,47.6666,-52.7314,59.0,58,75,29.93,CA,1619889654
aksu,41.1231,80.2644,74.57,19,91,5.12,CN,1619889654
ostrovnoy,68.0531,39.5131,25.92,71,100,12.53,RU,1619889654
mindelo,16.8901,-24.9804,77.0,61,20,26.46,CV,1619889655
boyolangu,-8.1181,111.8935,75.97,89,49,0.74,ID,1619889655
vao,-22.6667,167.4833,74.25,75,87,24.72,NC,1619889655
marzuq,14.4,46.4667,72.03,72,100,9.4,YE,1619889656
faanui,-16.4833,-151.75,80.62,69,88,5.53,PF,1619889656
christchurch,-43.5333,172.6333,42.01,100,20,2.3,NZ,1619889656
peravurani,10.3,79.1833,85.44,69,89,10.22,IN,1619889656
lagoa,39.05,-27.9833,59.29,91,100,22.12,PT,1619889657
qaqortoq,60.7167,-46.0333,51.8,20,2,32.21,GL,1619889657
lompoc,34.6391,-120.4579,60.01,82,40,6.91,US,1619889657
lahaina,20.8783,-156.6825,72.0,78,20,5.75,US,1619889658
sain alto,23.5833,-103.25,71.35,13,0,16.06,MX,1619889658
nichinan,31.6,131.3667,53.01,71,0,11.01,JP,1619889658
talcahuano,-36.7167,-73.1167,57.2,88,90,10.36,CL,1619889659
balsa,46.0333,23.1167,63.93,76,96,1.45,RO,1619889659
makakilo city,21.3469,-158.0858,75.2,83,75,3.44,US,1619889659
cururupu,-1.8283,-44.8683,82.27,81,70,3.11,BR,1619889660
mahibadhoo,3.7833,72.9667,84.18,64,11,4.54,MV,1619889660
baykit,61.67,96.37,34.02,94,97,4.43,RU,1619889660
nemuro,43.3236,145.575,38.14,84,54,6.38,JP,1619889661
saldanha,-33.0117,17.9442,64.4,48,2,5.75,ZA,1619889661
inhambane,-23.865,35.3833,71.6,88,40,11.5,MZ,1619889661
chapais,49.7834,-74.8492,39.2,38,1,14.97,CA,1619889662
geraldton,-28.7667,114.6,57.2,58,99,9.22,AU,1619889662
los llanos de aridane,28.6585,-17.9182,69.8,64,40,11.5,ES,1619889663
satara,17.6833,73.9833,79.68,52,87,4.65,IN,1619889663
karratha,-20.7377,116.8463,80.29,59,43,6.06,AU,1619889663
carnarvon,-24.8667,113.6333,68.0,73,100,11.5,AU,1619889664
dakar,14.6937,-17.4441,73.4,78,0,16.11,SN,1619889664
mahon,39.8885,4.2658,60.8,72,20,3.44,ES,1619889664
atar,20.5169,-13.0499,95.86,11,0,12.93,MR,1619889664
kattivakkam,13.2167,80.3167,87.01,79,40,6.91,IN,1619889665
fukue,32.6881,128.8419,57.25,55,31,17.29,JP,1619889665
buala,-8.145,159.5921,78.85,80,81,0.54,SB,1619889665
itarema,-2.9248,-39.9167,82.44,75,99,5.61,BR,1619889666
bairiki,1.3292,172.9752,80.6,89,20,6.91,KI,1619889666
waddan,29.1614,16.139,99.55,4,0,14.45,LY,1619889666
zhigansk,66.7697,123.3711,30.22,95,100,5.73,RU,1619889667
kupang,-10.1667,123.5833,76.73,80,20,9.71,ID,1619889667
gat,31.61,34.7642,75.99,56,66,5.37,IL,1619889485
mbandaka,0.0487,18.2603,75.15,89,100,3.74,CD,1619889667
sambava,-14.2667,50.1667,77.88,86,4,6.4,MG,1619889668
sechura,-5.5569,-80.8222,80.02,56,20,10.76,PE,1619889668
labuan,5.2767,115.2417,78.01,100,20,6.38,MY,1619889668
mizdah,31.4451,12.9801,90.45,15,100,16.24,LY,1619889669
mananjary,-21.2167,48.3333,76.1,88,73,7.72,MG,1619889669
tanhacu,-14.0214,-41.2481,73.71,63,100,6.33,BR,1619889669
klaksvik,62.2266,-6.589,37.4,93,95,4.61,FO,1619889670
cabedelo,-6.9811,-34.8339,86.0,66,40,14.97,BR,1619889670
florence,43.7667,11.25,63.0,94,75,2.3,IT,1619889670
alta floresta,-9.8756,-56.0861,91.4,55,40,4.61,BR,1619889671
talaya,61.3833,152.75,25.88,95,100,0.58,RU,1619889671
olafsvik,64.8945,-23.7142,37.96,65,48,21.05,IS,1619889671
huarmey,-10.0681,-78.1522,73.04,74,11,11.01,PE,1619889672
fairhope,30.523,-87.9033,80.01,38,1,6.91,US,1619889672
siguiri,11.6667,-9.5,101.84,21,87,3.38,GN,1619889672
merauke,-8.4667,140.3333,76.57,90,42,10.2,ID,1619889672
ormara,25.2088,64.6357,83.23,75,53,17.27,PK,1619889673
san quintin,30.4833,-115.95,67.48,69,90,15.86,MX,1619889673
gornopravdinsk,60.05,69.9,41.56,48,100,11.18,RU,1619889673
seoul,37.5683,126.9778,46.4,93,90,6.91,KR,1619889590
gravdal,68.1214,13.5031,35.6,69,75,10.36,NO,1619889674
biasca,46.3597,8.9697,52.0,100,75,2.3,CH,1619889674
